      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31457.1654318612   -31247.7639969612     1500.0000000000   -31456.8121320928      209.4014349000      0.00000000
        50   -31433.0304178855   -31238.9567975511     1390.2026537717   -31433.0304175086      194.0736203344      3.28154939
       100   -31420.4894861392   -31226.2146620275     1391.6439316990   -31420.4894861392      194.2748241118      4.60002983
       150   -31415.4222500126   -31216.0329208356     1428.2805364172   -31415.4222500126      199.3893291770      4.10615288
       200   -31408.0623205768   -31211.0684339949     1411.1213230893   -31408.0623084938      196.9938865819      2.75877024
       250   -31404.5829063527   -31205.1206738960     1428.8027626361   -31404.5829063527      199.4622324567      4.17060684
       300   -31411.3574613583   -31204.1857877321     1484.0276074890   -31411.3486046471      207.1716736263      4.11232499
       350   -31406.1948988089   -31205.5734178172     1437.1067783330   -31406.1948988089      200.6214809916      3.10128009
       400   -31406.6945019767   -31203.3681909850     1456.4822186307   -31406.6945019767      203.3263109917      5.30975277
       450   -31409.7124878654   -31209.6738239321     1432.9318996467   -31409.7124878404      200.0386639333      3.24588322
       500   -31412.9418305505   -31211.2704405207     1444.6275651796   -31412.9400196163      201.6713900298      2.79370342
       550   -31408.8332541053   -31204.6591545725     1462.5551608343   -31408.8332541053      204.1740995327      3.67011253
       600   -31404.0589273021   -31195.8331876762     1491.5781717927   -31404.0589247011      208.2257396259      3.84201359
       650   -31405.7640030713   -31196.0805217087     1502.0203762887   -31405.7640030713      209.6834813626      3.52480279
       700   -31403.4246089065   -31196.0838003895     1485.2391671723   -31403.4160783274      207.3408085170      2.91934308
       750   -31405.8794817927   -31198.9354693047     1482.3968082180   -31405.8794817927      206.9440124880      3.78260825
       800   -31405.3256035247   -31196.8732143844     1493.2017245241   -31405.3256034826      208.4523891403      3.70961604
       850   -31403.9367163455   -31198.1268116223     1474.2728827631   -31403.9367163455      205.8099047232      4.01236818
       900   -31406.6989494748   -31202.7970587679     1460.6052542399   -31406.6989477477      203.9018907069      2.95734319
       950   -31412.2603447544   -31198.4223411531     1531.7803603168   -31412.2603447544      213.8380036013      5.24567739
      1000   -31404.8173623453   -31190.4335337491     1535.6902546916   -31404.8172703997      214.3838285962      2.78723277
      1050   -31399.5768015409   -31188.0551839527     1515.1874510017   -31399.5768015112      211.5216175881      2.83508090
      1100   -31407.0367656269   -31196.8713273101     1505.4727663438   -31407.0367656269      210.1654383168      3.25265392
      1150   -31398.4979223664   -31194.9472828407     1458.0891455423   -31398.4979223664      203.5506395258      6.67408992
      1200   -31400.0259240297   -31198.1575976579     1446.0382742953   -31400.0237655562      201.8683263718      3.21875233
