      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31397.4953416592   -31188.0886891557     1500.0373751275   -31397.0051536758      209.4066525036      0.00000000
         1   -31397.6803074103   -31188.0920881562     1501.3379876374   -31397.2313174921      209.5882192541      0.12346296
         2   -31397.9338988093   -31188.0790580604     1503.2478706440   -31397.5413729279      209.8548407488      0.14377048
         3   -31398.2521320074   -31188.0730233928     1505.5706904424   -31397.9276328187      210.1791086147      0.14089895
         4   -31398.6160414324   -31188.0671215371     1508.2197502315   -31398.3694870895      210.5489198953      0.14219235
         5   -31399.0065240675   -31188.0663508155     1511.0224055014   -31398.8432028210      210.9401732520      0.14328530
         6   -31399.4127577723   -31188.0754518644     1513.8671758060   -31399.3246430118      211.3373059079      0.14467708
         7   -31399.8243254410   -31188.0911550833     1516.7028616027   -31399.7884179232      211.7331703577      0.14697040
         8   -31400.2233669841   -31188.1063859251     1519.4522030874   -31400.2131443227      212.1169810590      0.14362688
         9   -31400.5780915989   -31188.1146607857     1521.9339178454   -31400.5762076464      212.4634308132      0.14512930
        10   -31400.8586836943   -31188.1180558588     1523.9195562614   -31400.8584733448      212.7406278355      0.13425278
        11   -31401.0435586260   -31188.1190057420     1525.2370619069   -31401.0435450469      212.9245528840      0.14109095
        12   -31401.1221386126   -31188.1191626815     1525.7988277356   -31401.1221381160      213.0029759310      0.14915291
        13   -31401.0919547327   -31188.1189558595     1525.5840938354   -31401.0919547223      212.9729988732      0.15133987
        14   -31400.9571671493   -31188.1177960159     1524.6268816282   -31400.9571671492      212.8393711334      0.14781296
        15   -31400.7304127821   -31188.1166610751     1523.0107077003   -31400.7304127821      212.6137517070      0.13821153
        16   -31400.4294986802   -31188.1156378302     1520.8625071126   -31400.4294986802      212.3138608500      0.14091429
        17   -31400.0764362867   -31188.1141602886     1518.3440082393   -31400.0764362867      211.9622759981      0.24771374
        18   -31399.6971025100   -31188.1121888396     1515.6408582263   -31399.6971025100      211.5849136704      0.24926769
        19   -31399.3192114876   -31188.1099268445     1512.9501243197   -31399.3192114876      211.2092846431      0.25392772
        20   -31398.9713972066   -31188.1087669552     1510.4669436872   -31398.9713972066      210.8626302514      0.25895668
        21   -31398.6774238399   -31188.1073643882     1508.3711786812   -31398.6774238399      210.5700594518      0.26459394
        22   -31398.4591529082   -31188.1063419590     1506.8149679802   -31398.4591529082      210.3528109492      0.26499155
        23   -31398.3326270604   -31188.1058665800     1505.9120338463   -31398.3326270604      210.2267604804      0.20186040
        24   -31398.3069253408   -31188.1056432136     1505.7295254034   -31398.3069253408      210.2012821272      0.20550403
