      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31400.0442482494   -31400.0442482494        0.0000000000   -31400.0442482494        0.0000000000      0.00000000
        50   -31492.5195813495   -31351.2622066008     1011.8653782115   -31492.5195813495      141.2573747488      6.23201384
       100   -31482.5427098233   -31321.3178589932     1154.8978943750   -31482.5427098233      161.2248508301      5.88825756
       150   -31446.3992762443   -31293.6504768474     1094.1816096186   -31446.3992762443      152.7487993969      3.64312529
       200   -31460.3804756433   -31271.1527990834     1355.4898273517   -31460.3804756433      189.2276765599      2.94555695
       250   -31424.8174427205   -31251.4889728067     1241.5994426916   -31424.8174427205      173.3284699138      6.43395012
       300   -31403.5542317179   -31243.2825593165     1148.0700154557   -31403.5436503473      160.2716724014      2.94229822
       350   -31426.1484286602   -31228.0545816774     1419.0006415961   -31426.1484286602      198.0938469828      2.93574287
       400   -31415.3443433560   -31217.4467760531     1417.5946363314   -31415.3443433560      197.8975673029      6.04776872
       450   -31411.1568618451   -31208.3612450581     1452.6807102624   -31411.1568618451      202.7956167870      2.91938541
       500   -31409.2593580386   -31200.9215342040     1492.3810617681   -31409.2593580386      208.3378238346      6.21125532
       550   -31411.4451265123   -31203.8690432279     1486.9245049595   -31411.4451265123      207.5760832843      3.84362728
       600   -31405.3832589619   -31200.2216422010     1469.6290180072   -31405.3832589013      205.1616167609      4.09141255
       650   -31401.5225081847   -31191.3815045188     1505.2977342265   -31401.5225080821      210.1410036658      2.61444847
       700   -31406.9752412055   -31191.4776443722     1543.6684825214   -31406.9752412055      215.4975968333      3.67605810
       750   -31404.4882154909   -31195.0777627940     1500.0645969564   -31404.4882154909      209.4104526969      4.50637461
       800   -31405.0849469971   -31194.4319424597     1508.9653371139   -31405.0849469971      210.6530045373      3.48839430
       850   -31407.3488879228   -31193.2799935471     1533.4342943583   -31407.3488879228      214.0688943757      4.66918016
       900   -31403.4029362114   -31189.3160106861     1533.5634564362   -31403.4029362114      214.0869255253      6.27893737
       950   -31400.9105878348   -31194.0873846278     1481.5314181520   -31400.9105793059      206.8232032070      4.19933640
      1000   -31408.4842908791   -31194.1210173879     1535.5430128281   -31408.4842908791      214.3632734912      4.95931509
      1050   -31395.1786114342   -31194.9654445931     1434.1819119100   -31395.1785938432      200.2131668411      3.68103258
      1100   -31395.5249155023   -31189.8471423323     1473.3263881520   -31395.5249155023      205.6777731700      2.52373649
      1150   -31403.6666735162   -31190.1693127366     1529.3402422111   -31403.6666735162      213.4973607795      4.07999060
      1200   -31400.8082862215   -31197.0631882415     1459.4821048670   -31400.8082862215      203.7450979800      3.65104241
      1250   -31401.6360441311   -31196.2331972724     1471.3570154623   -31401.6360441311      205.4028468587      3.98807264
      1300   -31405.0676520532   -31191.3629329871     1530.8256065783   -31405.0676519696      213.7047190661      4.57764003
      1350   -31405.6675431695   -31193.8074678638     1517.6119166056   -31405.6675146414      211.8600753057      2.50197365
      1400   -31399.0415833823   -31194.1094739708     1467.9849938185   -31399.0415833823      204.9321094115      2.81659910
      1450   -31400.8386222875   -31187.1611715034     1530.6302763836   -31400.8386222875      213.6774507841      6.07512257
      1500   -31404.1697613061   -31190.0683728687     1533.6670582491   -31404.1697611127      214.1013884375      3.88222854
      1550   -31393.2119343090   -31186.2397390484     1482.5986891598   -31393.2119343090      206.9721952606      3.48172203
      1600   -31408.8839511581   -31194.1461646319     1538.2257525749   -31408.8839511581      214.7377865262      3.05475877
      1650   -31398.9006681142   -31195.6081445264     1456.2401901751   -31398.8985144851      203.2925235878      2.76076728
      1700   -31390.4611126123   -31193.9121952527     1407.9338863184   -31390.4611126123      196.5489173596      3.00210291
      1750   -31401.7255371907   -31187.8476729122     1532.0658932977   -31401.7254265249      213.8778642786      4.20372053
      1800   -31396.8289920694   -31186.9802000910     1503.2045416399   -31396.8289920694      209.8487919784      2.76019532
      1850   -31396.8393052580   -31183.5384613533     1527.9325378537   -31396.8393052580      213.3008439046      6.01389391
      1900   -31401.6080069112   -31187.8570940345     1531.1565055330   -31401.6080069112      213.7509128767      3.35616291
      1950   -31401.9599929019   -31184.3262477685     1558.9702995872   -31401.9599929019      217.6337451334      5.76623416
      2000   -31394.8370983476   -31190.0003696760     1467.3017553779   -31394.8370975822      204.8367286716      3.78537723
      2050   -31392.2911785829   -31183.6459245204     1494.5832689403   -31392.2911412760      208.6452540624      2.58356933
      2100   -31407.7488632140   -31186.9490535032     1581.6496898617   -31407.7488632140      220.7998097108      3.19756181
      2150   -31396.9632853252   -31183.7684921169     1527.1728675846   -31396.9632344352      213.1947932084      3.24891664
      2200   -31399.0248438253   -31186.6836088978     1521.0585951493   -31399.0248438253      212.3412349275      4.22871418
      2250   -31400.6544765490   -31187.0474469035     1530.1258304234   -31400.6542364986      213.6070296455      3.95243596
      2300   -31397.5218984359   -31186.4842861654     1511.7203879572   -31397.5218984359      211.0376122706      2.85712828
      2350   -31394.7336354242   -31185.0245158465     1502.2040298658   -31394.7336354220      209.7091195776      2.54950178
      2400   -31395.6712715584   -31184.1238001473     1515.3726490373   -31395.6712715584      211.5474714111      4.77356633
      2450   -31396.1931825061   -31183.4671423840     1523.8150604629   -31396.1918450242      212.7260401221      3.19925837
      2500   -31394.3367502023   -31190.5177310633     1460.0116224350   -31394.3367502023      203.8190191390      2.93796682
      2550   -31397.6665280655   -31187.8060351269     1503.2883588315   -31397.6665225243      209.8604929385      3.09449424
      2600   -31395.9139329591   -31187.4912420301     1492.9889880788   -31395.9139329591      208.4226909291      2.27500556
      2650   -31392.9037025727   -31185.2001293386     1487.8377504907   -31392.9036814546      207.7035732341      4.69933696
      2700   -31408.0935677712   -31191.4207912395     1552.0866175184   -31408.0935677712      216.6727765316      3.36491419
      2750   -31398.8860330282   -31189.6135089546     1499.0765763393   -31398.8860330282      209.2725240736      5.94800615
      2800   -31393.6950967531   -31189.0606448627     1465.8527912290   -31393.6950967531      204.6344518904      6.09163964
      2850   -31396.3467228288   -31187.8976781350     1493.1777673350   -31396.3467228025      208.4490446938      4.55764540
      2900   -31405.7917896052   -31193.5551998056     1520.3089933521   -31405.7917417082      212.2365897995      2.64366329
      2950   -31406.9040933377   -31192.3896814558     1536.6256586374   -31406.9040933377      214.5144118819      3.62101443
      3000   -31400.2326577078   -31190.8635910125     1499.7681376583   -31400.2326577078      209.3690666953      4.57212101
      3050   -31405.9514220666   -31193.3615369460     1522.8397447859   -31405.9514220666      212.5898851206      3.19561172
      3100   -31406.1082456655   -31195.1788726515     1510.9450404299   -31406.1006578433      210.9293730140      2.85335969
      3150   -31396.6237353395   -31192.2175404492     1464.2177236365   -31396.6237353395      204.4061948903      2.76130497
      3200   -31395.9726053755   -31191.7446275070     1462.9411061536   -31395.9724859781      204.2279778685      2.74055751
      3250   -31400.2006396437   -31187.1184178045     1526.3664879441   -31400.2006396153      213.0822218392      2.59465596
      3300   -31395.6606707755   -31190.8238217291     1467.3026176557   -31395.6606707755      204.8368490464      3.22698873
      3350   -31410.9683066793   -31195.3899381180     1544.2470725971   -31410.9683066793      215.5783685613      3.94366235
      3400   -31401.2976726063   -31200.5987339217     1437.6616290646   -31401.2976726053      200.6989386845      3.52468829
      3450   -31406.0123435699   -31193.1936077869     1524.4790649450   -31406.0123435693      212.8187357830      2.65554602
      3500   -31396.1528009809   -31191.0421472160     1469.2639560672   -31396.1528009809      205.1106537649      5.05212712
      3550   -31398.7526080974   -31188.9929491314     1502.5660573871   -31398.7526080464      209.7596589659      2.79124175
      3600   -31404.6631194803   -31199.0720127768     1472.7055724454   -31404.6631194803      205.5911067035      2.72032246
      3650   -31401.2010147093   -31195.8022969855     1471.3274373350   -31401.2010147093      205.3987177238      5.78959464
      3700   -31399.0687265245   -31198.2336021192     1438.6371647919   -31399.0687265245      200.8351244053      4.27181066
      3750   -31403.1475012257   -31206.3622780154     1409.6266100392   -31403.1475012257      196.7852232103      2.87017978
      3800   -31402.3694444954   -31196.2791359352     1476.2814924734   -31402.3694444954      206.0903085602      6.22658921
      3850   -31402.2560730828   -31197.6944238364     1465.3312858914   -31402.2560730828      204.5616492464      3.78209425
      3900   -31403.8423295842   -31198.0608086711     1474.0695617351   -31403.8423295842      205.7815209132      2.05662226
      3950   -31409.5064291030   -31193.2964717272     1548.7713167709   -31409.5064291030      216.2099573759      6.14181952
      4000   -31401.6827524486   -31198.1808710178     1457.7398779143   -31401.6827524486      203.5018814308      3.37394868
      4050   -31398.4691915707   -31201.5251145970     1410.7645231831   -31398.4691915690      196.9440769737      2.66522927
      4100   -31400.7906899067   -31197.7445261938     1454.4754467169   -31400.7906899067      203.0461637129      3.33214227
      4150   -31403.0977279741   -31189.8735174274     1527.3835920596   -31403.0977279741      213.2242105467      6.00750342
      4200   -31395.2192445683   -31190.0352055107     1469.7896350779   -31395.2192352865      205.1840390576      2.77807657
      4250   -31403.8800838117   -31189.0586172703     1538.8251755102   -31403.8800838117      214.8214665414      2.55996347
      4300   -31396.4123350145   -31187.8282340499     1494.1452125021   -31396.4123316643      208.5841009646      3.59333174
      4350   -31395.8533179617   -31184.4696239410     1514.1994666014   -31395.8533179617      211.3836940208      2.56209662
      4400   -31401.8747794825   -31187.2332924264     1537.5359330171   -31401.8747794824      214.6414870561      3.56231403
      4450   -31397.2451216493   -31190.9710543371     1477.5978068917   -31397.2451216493      206.2740673121      4.07965346
      4500   -31404.1822644033   -31192.6418459362     1515.3221268625   -31404.1822644033      211.5404184672      4.54512334
      4550   -31404.1683634217   -31191.5485629580     1523.0540366062   -31404.1683634212      212.6198004637      4.11861211
      4600   -31397.8031965283   -31194.5188336459     1456.1817328011   -31397.8031965283      203.2843628825      3.65357712
      4650   -31401.7640395651   -31189.8769449218     1517.8054635429   -31401.7640395651      211.8870946433      6.09120346
      4700   -31393.6769573684   -31187.0224078704     1480.3233053063   -31393.6769485564      206.6545494980      2.74664189
      4750   -31408.9668347968   -31196.2551647133     1523.7121239287   -31408.9668347968      212.7116700835      3.08325987
      4800   -31403.4364593189   -31198.0413287737     1471.3017413894   -31403.4364451720      205.3951305452      3.42833792
      4850   -31399.6631495925   -31195.1806306166     1464.7644540274   -31399.6631495925      204.4825189759      2.61097871
      4900   -31402.0024545888   -31194.4712009288     1486.6033780463   -31402.0024545888      207.5312536600      4.76409657
      4950   -31394.1247220363   -31191.5269603611     1451.2634197463   -31394.1247220363      202.5977616752      6.01592457
      5000   -31397.4653601921   -31190.2694994161     1484.2008666867   -31397.4653601921      207.1958607760      2.44192100
      5050   -31402.5073401348   -31190.1624201766     1521.0849920366   -31402.5073401348      212.3449199582      3.57736928
      5100   -31404.4993814441   -31188.9338817670     1544.1548892448   -31404.4993814441      215.5654996771      2.64743597
      5150   -31401.6983718256   -31191.8252938613     1503.3785088287   -31401.6983718256      209.8730779644      4.65159211
      5200   -31398.1374013536   -31187.1821655020     1511.1303030398   -31398.1374013536      210.9552358516      6.19625739
      5250   -31400.5121378755   -31188.4788923966     1518.8523821254   -31400.5121378755      212.0332454789      6.28377583
      5300   -31394.7036762429   -31188.7367047448     1475.3979952173   -31394.7034345267      205.9669714981      2.57843182
      5350   -31399.5539728458   -31189.6308931661     1503.7366848509   -31399.5539728458      209.9230796797      2.86419458
      5400   -31398.8289007424   -31187.3009494546     1515.2328210322   -31398.8287944892      211.5279512878      3.19124816
      5450   -31400.7139984759   -31184.9196489776     1545.7942033781   -31400.7139984759      215.7943494983      3.70454588
      5500   -31401.9874674050   -31187.6986086835     1535.0099593904   -31401.9874674050      214.2888587214      3.96813848
      5550   -31391.4970470806   -31189.7780289319     1444.9687384790   -31391.4970470806      201.7190181488      2.67309114
      5600   -31398.7473727730   -31185.7412642530     1525.8212673308   -31398.7473727730      213.0061085200      6.01374222
      5650   -31398.7211209454   -31189.7267404193     1497.0841577029   -31398.7211209454      208.9943805260      3.28131584
      5700   -31393.5113001913   -31188.0694996576     1471.6360513368   -31393.5113001719      205.4418005337      2.71912839
      5750   -31394.8384370193   -31186.2423595976     1494.2310031541   -31394.8384370192      208.5960774217      2.73728969
      5800   -31396.0206729596   -31190.4725704585     1472.3975215298   -31396.0206729596      205.5481025010      3.21878606
      5850   -31402.0971797901   -31189.5663160434     1522.4169584718   -31402.0971797901      212.5308637467      3.78617296
      5900   -31390.3772662295   -31186.5901687152     1459.7829590683   -31390.3772662295      203.7870975143      6.26592237
      5950   -31404.3549241879   -31192.6519429067     1516.4866089552   -31404.3535787247      211.7029812812      4.46184643
      6000   -31400.9467249811   -31193.5471858054     1485.6598710132   -31400.9467249811      207.3995391757      3.34658219
      6050   -31401.0473246070   -31187.3210660484     1530.9798998803   -31401.0473210360      213.7262585587      4.98522220
      6100   -31394.0615332228   -31190.1067625267     1460.9840481291   -31394.0614679994      203.9547706962      3.30610147
      6150   -31401.6291188086   -31192.0083711884     1501.5709972595   -31401.6291188086      209.6207476202      2.99027769
      6200   -31403.2599170541   -31190.7810313801     1522.0446252583   -31403.2599170541      212.4788856739      4.52186497
      6250   -31401.9025544702   -31192.8865807733     1497.2388355177   -31401.9023524163      209.0159736969      2.54911692
      6300   -31402.5140476699   -31190.3514202389     1519.7791805893   -31402.5140476699      212.1626274310      3.69190797
      6350   -31401.0356671126   -31189.9838704889     1511.8219943752   -31401.0356671126      211.0517966237      5.95021529
      6400   -31400.3937036327   -31192.2572991568     1490.9382395733   -31400.3905467106      208.1364044759      2.60623058
      6450   -31400.0517214502   -31192.2570676494     1488.4901856099   -31400.0517214502      207.7946538009      3.10021406
      6500   -31407.2336036748   -31188.1993561496     1569.0024829324   -31407.2335896270      219.0342475251      3.14243989
      6550   -31401.8500694483   -31196.2107842823     1473.0506880069   -31401.8500171134      205.6392851661      2.59237517
