      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31457.7915523168   -31457.7915523168        0.0000000000   -31456.8121320928        0.0000000000      0.00000000
         0   -31459.2702198329   -31457.8147827677       10.4256955008   -31457.8866951956        1.4554370651     79.43687924
reaction occured at step 1 for id pairs: (array([1, 3]),)
        50   -31541.7071846675   -31456.5392438153      610.0813556474   -31541.7071455186       85.1679408522      2.42149597
       100   -31546.6296148383   -31456.5709230828      645.1151478392   -31546.6296148383       90.0586917555      3.24403116
       150   -31527.8753393848   -31456.6210562573      510.4140033347   -31527.8104690386       71.2542831276      3.08492394
reaction occured at step 176 for id pairs: (array([  1, 654]),)
reaction occured at step 184 for id pairs: (array([1, 3]),)
reaction occured at step 187 for id pairs: (array([  1, 654]),)
       200   -31542.5699356036   -31454.7861760666      628.8191834421   -31542.5699356036       87.7837595370      1.79381693
       250   -31534.1894159872   -31454.8891643333      568.0494860875   -31534.1893564218       79.3002516540      3.06787326
       300   -31523.3092954344   -31455.7273061482      484.1083537831   -31523.3092954344       67.5819892862      2.27856823
       350   -31536.5192679125   -31455.7411463619      578.6358741223   -31536.5192679125       80.7781215506      3.61657607
       400   -31532.2711783466   -31455.7353913965      548.2468660253   -31532.2711783466       76.5357869501      2.81517818
       450   -31532.6339549368   -31455.7460941658      550.7688675179   -31532.6339549368       76.8878607710      2.02003145
       500   -31536.1533316989   -31455.7355601193      576.0545882936   -31536.1533316989       80.4177715796      2.71431049
       550   -31534.7644327985   -31455.7360930960      566.1017060864   -31534.7644327985       79.0283397026      3.74996989
       600   -31537.6520125360   -31455.7471473306      586.7070484347   -31537.6520125360       81.9048652054      4.63493623
       650   -31535.1382197537   -31455.7508672480      568.6734134148   -31535.1382197537       79.3873525057      2.17109279
       700   -31532.7852087146   -31455.7414326860      551.8857313381   -31532.7852087146       77.0437760287      3.14423776
       750   -31534.9919663403   -31455.7465422687      567.6567410544   -31534.9919663403       79.2454240716      3.93927600
       800   -31530.6641158305   -31455.7382605673      536.7144831093   -31530.6641132845       74.9258552631      2.78861230
       850   -31530.8150933744   -31455.7372475030      537.8032335871   -31530.8150933744       75.0778458713      3.03565799
       900   -31535.8653359562   -31455.7412026370      573.9511767730   -31535.8653359562       80.1241333192      3.61605568
       950   -31533.8315302497   -31455.7473824053      559.3382004403   -31533.8315302497       78.0841478444      3.08194931
      1000   -31532.6866438559   -31455.7470849519      551.1391954462   -31532.6866438559       76.9395589040      2.33184280
      1050   -31533.9888474189   -31455.7449392081      560.4826078303   -31533.9888474189       78.2439082108      3.91332458
      1100   -31533.1807244060   -31455.7448878825      554.6941683605   -31533.1807244060       77.4358365236      3.80234874
      1150   -31534.2598088452   -31455.7443555406      562.4277599296   -31534.2598088451       78.5154533046      3.61538539
      1200   -31538.4789824708   -31455.7583725642      592.5504518109   -31538.4789746503       82.7206099066      1.92909439
      1250   -31531.4864863792   -31455.7473139918      542.5404970856   -31531.4864863706       75.7391723874      1.94453274
      1300   -31533.6692859042   -31455.7456622997      558.1883212150   -31533.6692859042       77.9236236046      2.63185662
      1350   -31538.6698614746   -31455.7500983151      593.9770412678   -31538.6698614745       82.9197631594      3.26692172
      1400   -31528.7758926895   -31455.7439370581      523.1479597997   -31528.7758926895       73.0319556314      3.75868541
      1450   -31531.6277675045   -31455.7441675489      543.5750714306   -31531.6277675045       75.8835999556      3.33159637
      1500   -31536.5630070260   -31455.7519362805      578.8718982564   -31536.5630070260       80.8110707455      3.77045981
      1550   -31530.4855287391   -31455.7478880668      535.3662502932   -31530.4854979258       74.7376406723      2.04055471
      1600   -31535.2741722907   -31455.7481483765      569.6667548067   -31535.2741722907       79.5260239142      2.20055918
      1650   -31536.1682571435   -31455.7560605054      576.0146534561   -31536.1682571433       80.4121966381      3.34539277
      1700   -31534.4004528773   -31455.7523983514      563.3776189032   -31534.4004528673       78.6480545259      2.40866453
      1750   -31531.0357559894   -31455.7429384197      539.3431349145   -31531.0357559894       75.2928175697      2.93044082
      1800   -31534.0543534029   -31455.7502190432      560.9140242791   -31534.0543534029       78.3041343597      3.22920807
      1850   -31535.8127279293   -31455.7667255582      573.3915033298   -31535.5776905434       80.0460023712      2.03960079
reaction occured at step 1862 for id pairs: (array([1, 3]),)
