      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31397.0051536663   -31397.0051536663        0.0000000000   -31397.0051536663        0.0000000000      0.00000000
         1   -31397.1369590494   -31397.0055584497        0.9412585911   -31397.1369590494        0.1314005997      0.15494938
         2   -31397.5267570651   -31397.0065291923        3.7265351572   -31397.5267570651        0.5202278728      0.15560440
         3   -31398.1586829965   -31397.0078116544        8.2440075632   -31398.1586829965        1.1508713420      0.15615556
         4   -31399.0085937942   -31397.0096550817       14.3189470988   -31399.0085937942        1.9989387125      0.15834409
         5   -31400.0451417323   -31397.0117184263       21.7292444112   -31400.0451417323        3.0334233060      0.14364596
         6   -31401.2336211155   -31397.0143383095       30.2238817610   -31401.2336211155        4.2192828060      0.15613773
         7   -31402.5367744390   -31397.0166429042       39.5422185434   -31402.5367744390        5.5201315347      0.15677165
         8   -31403.9196121815   -31397.0188059755       49.4323704793   -31403.9196121815        6.9008062059      0.15535658
         9   -31405.3503511504   -31397.0207107272       59.6675024731   -31405.3503511504        8.3296404232      0.15273935
        10   -31406.8022184021   -31397.0218693962       70.0593265555   -31406.8022184021        9.7803490059      0.15588720
        11   -31408.2557781845   -31397.0223168660       80.4683692152   -31408.2557781845       11.2334613185      0.15840500
        12   -31409.6999534750   -31397.0226893671       90.8107252033   -31409.6999534750       12.6772641079      0.15535258
        13   -31411.1305512551   -31397.0223247143      101.0611021908   -31411.1305512551       14.1082265409      0.16023411
        14   -31412.5524057080   -31397.0215126035      111.2520535870   -31412.5524057080       15.5308931045      0.16045404
        15   -31413.9772080305   -31397.0199562109      121.4694528796   -31413.9772080305       16.9572518197      0.16011942
        16   -31415.4242581990   -31397.0186444344      131.8444673506   -31415.4242581990       18.4056137646      0.15588855
        17   -31416.9161099831   -31397.0170430312      142.5424827778   -31416.9161099831       19.8990669519      1.11351493
        18   -31418.4790334169   -31397.0154366956      153.7496392867   -31418.4790334169       21.4635967213      1.14143303
        19   -31420.1401956868   -31397.0142052961      165.6578217937   -31420.1401956868       23.1259903907      1.15616343
        20   -31421.9245427140   -31397.0128831357      178.4490607013   -31421.9245427140       24.9116595783      1.16218869
        21   -31423.8545579741   -31397.0120324744      192.2803836981   -31423.8545579741       26.8425254997      1.15814022
        22   -31425.9464294993   -31397.0113185633      207.2701480044   -31425.9464294993       28.9351109360      1.15789969
        23   -31428.2105221295   -31397.0115470487      223.4868287482   -31428.2105221295       31.1989750808      1.15083955
        24   -31430.6474015763   -31397.0117918516      240.9411120374   -31430.6474015763       33.6356097247      1.14643425
        25   -31433.2507151150   -31397.0128307092      259.5819204134   -31433.2507151150       36.2378844058      1.14734167
        26   -31436.0046674441   -31397.0145735432      279.2967530490   -31436.0046674441       38.9900939009      1.14121736
        27   -31438.8851771622   -31397.0165617428      299.9163934052   -31438.8851771622       41.8686154194      1.14968946
        28   -31441.8617192347   -31397.0185824674      321.2237069107   -31441.8617192347       44.8431367673      1.13674263
        29   -31444.8992512271   -31397.0208759357      342.9659542277   -31444.8992512271       47.8783752914      1.15721565
        30   -31447.9597866849   -31397.0236218514      364.8697406811   -31447.9597866849       50.9361648335      1.16090423
        31   -31451.0040214900   -31397.0262568399      386.6575556839   -31451.0040214900       53.9777646501      1.15217508
        32   -31453.9947973985   -31397.0285691161      408.0647416025   -31453.9947973985       56.9662282824      0.15747709
        33   -31456.8988434435   -31397.0301773821      428.8557007021   -31456.8988434435       59.8686660614      0.15577798
        34   -31459.6894079425   -31397.0311627691      448.8382221688   -31459.6894079425       62.6582451734      0.15705804
        35   -31462.3481540295   -31397.0323684924      467.8749138109   -31462.3481540295       65.3157855371      0.15955437
        36   -31464.8633369958   -31397.0324981974      485.8909311968   -31464.8633369958       67.8308387983      0.15630070
        37   -31467.2341112819   -31397.0319418751      502.8774237413   -31467.2341112819       70.2021694068      0.15572008
        38   -31469.4686612415   -31397.0310672806      518.8903838849   -31469.4686612415       72.4375939609      0.15637692
        39   -31471.5832283778   -31397.0300528393      534.0448758686   -31471.5832283778       74.5531755386      0.15517132
        40   -31473.6001518628   -31397.0283396987      548.5049245294   -31473.6001518628       76.5718121641      0.15590598
        41   -31475.5476903921   -31397.0263901589      562.4696430851   -31475.5476903921       78.5213002331      0.15671979
        42   -31477.4563557120   -31397.0243604874      576.1564761702   -31477.4563557120       80.4319952246      0.15633374
        43   -31479.3567650114   -31397.0225326460      589.7827233471   -31479.3567650114       82.3342323654      0.15806403
        44   -31481.2769600608   -31397.0212565749      603.5467488041   -31481.2769600608       84.2557034859      0.15909346
        45   -31483.2390026580   -31397.0199978092      617.6104157784   -31483.2390026580       86.2190048488      0.15827942
        46   -31485.2592565932   -31397.0196915493      632.0842434964   -31485.2592565932       88.2395650439      0.11280925
        47   -31487.3441237965   -31397.0199824491      647.0166361838   -31487.3441237965       90.3241413474      0.15605536
        48   -31489.4907773047   -31397.0207510819      662.3881990135   -31489.4907773047       92.4700262228      0.15776332
        49   -31491.6872968321   -31397.0222598783      678.1116638409   -31491.6872968321       94.6650369538      0.15820169
        50   -31493.9123114461   -31397.0240168113      694.0374693302   -31493.9123114461       96.8882946347      0.15418825
        51   -31496.1376545802   -31397.0259344965      709.9644765877   -31496.1376545802       99.1117200837      0.15940839
        52   -31498.3307096454   -31397.0286037481      725.6548118620   -31498.3307096454      101.3021058973      0.15414004
        53   -31500.4543729322   -31397.0307962839      740.8514896119   -31500.4543729322      103.4235766484      0.15463004
        54   -31502.4729008753   -31397.0326809574      755.2972593160   -31502.4729008753      105.4402199179      0.15686768
        55   -31504.3532322061   -31397.0345659161      768.7530866818   -31504.3532322061      107.3186662900      0.15848674
