      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0   -31397.4953416591   -31188.0886891555     1500.0373751275   -31397.0051536756      209.4066525036      0.00000000
         1   -31397.6803074100   -31188.0920881559     1501.3379876374   -31397.2313174919      209.5882192541      0.35558203
         2   -31397.9338988090   -31188.0790580602     1503.2478706440   -31397.5413729276      209.8548407488      0.35865427
         3   -31398.2521320070   -31188.0730233923     1505.5706904424   -31397.9276328182      210.1791086147      0.35296717
         4   -31398.6160414318   -31188.0671215365     1508.2197502315   -31398.3694870889      210.5489198953      0.33442955
         5   -31399.0065240672   -31188.0663508151     1511.0224055014   -31398.8432028206      210.9401732520      0.35159052
         6   -31399.4127577720   -31188.0754518641     1513.8671758060   -31399.3246430115      211.3373059079      0.35180043
         7   -31399.8243254408   -31188.0911550831     1516.7028616026   -31399.7884179230      211.7331703577      0.33920649
         8   -31400.2233669838   -31188.1063859248     1519.4522030874   -31400.2131443224      212.1169810590      0.36268164
         9   -31400.5780915986   -31188.1146607854     1521.9339178454   -31400.5762076461      212.4634308132      0.36636846
        10   -31400.8586836943   -31188.1180558588     1523.9195562614   -31400.8584733448      212.7406278355      0.36647405
        11   -31401.0435586257   -31188.1190057418     1525.2370619068   -31401.0435450466      212.9245528840      0.36900787
        12   -31401.1221386122   -31188.1191626811     1525.7988277356   -31401.1221381157      213.0029759310      0.34451282
        13   -31401.0919547326   -31188.1189558594     1525.5840938354   -31401.0919547222      212.9729988732      0.36187943
        14   -31400.9571671490   -31188.1177960157     1524.6268816282   -31400.9571671489      212.8393711334      0.35205505
        15   -31400.7304127820   -31188.1166610750     1523.0107077003   -31400.7304127820      212.6137517070      0.34078227
        16   -31400.4294986800   -31188.1156378300     1520.8625071126   -31400.4294986800      212.3138608500      0.36340176
        17   -31400.0764362867   -31188.1141602886     1518.3440082393   -31400.0764362867      211.9622759981      0.71821840
        18   -31399.6971025100   -31188.1121888396     1515.6408582263   -31399.6971025100      211.5849136704      0.73450796
        19   -31399.3192114874   -31188.1099268442     1512.9501243197   -31399.3192114874      211.2092846431      0.74444394
        20   -31398.9713972063   -31188.1087669549     1510.4669436872   -31398.9713972063      210.8626302514      0.72161506
        21   -31398.6774238396   -31188.1073643878     1508.3711786812   -31398.6774238396      210.5700594518      0.74671419
        22   -31398.4591529083   -31188.1063419590     1506.8149679802   -31398.4591529083      210.3528109492      0.75521072
