      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0        4.4706424297        4.4706424297        0.0000000000        4.4706424297        0.0000000000      0.00000000
         1        4.4702291781        4.4706424420        1.5985745900        4.4702291781        0.0004132640      0.01916235
         2        4.4689897324        4.4706424918        6.3931514829        4.4689897324        0.0016527594      0.01992324
         3        4.4669246904        4.4706422874       14.3802909115        4.4669246904        0.0037175970      0.02015825
         4        4.4640359284        4.4706422238       25.5542629522        4.4640359284        0.0066062955      0.02005300
         5        4.4603256088        4.4706423915       39.9070521922        4.4603256088        0.0103167827      0.02014223
         6        4.4557961790        4.4706425764       57.4283640152        4.4557961790        0.0148463973      0.02017958
         7        4.4504513601        4.4706432510       78.1056328631        4.4504513601        0.0201918909      0.02009415
         8        4.4442931750        4.4706426053      101.9240317166        4.4442931750        0.0263494302      0.02014592
         9        4.4373265038        4.4706411045      128.8664835159        4.4373265038        0.0333146007      0.02017379
        10        4.4295581999        4.4706406095      158.9136760545        4.4295581999        0.0410824096      0.02001104
        11        4.4209934169        4.4706407075      192.0440773431        4.4209934169        0.0496472906      0.02010964
        12        4.4116383702        4.4706414777      228.2339520009        4.4116383702        0.0590031075      0.02012779
        13        4.4014961300        4.4706392890      267.4573781673        4.4014961300        0.0691431590      0.02014463
        14        4.3905786879        4.4706388723      309.6862701038        4.3905786879        0.0800601844      0.02011657
        15        4.3788935515        4.4706399213      354.8904027588        4.3788935515        0.0917463698      0.01801549
        16        4.3664445309        4.4706378842      403.0374300707        4.3664445309        0.1041933533      0.01994089
        17        4.3532451581        4.4706373897      454.0929131814        4.3532451581        0.1173922316      0.01933081
        18        4.3393040275        4.4706375958      508.0203504201        4.3393040275        0.1313335683      0.01939692
        19        4.3246283743        4.4706357742      564.7812008680        4.3246283743        0.1460073998      0.01997051
        20        4.3092335565        4.4706368008      624.3349188528        4.3092335565        0.1614032443      0.01924289
        21        4.2931240636        4.4706341725      686.6389827406        4.2931240636        0.1775101089      0.01989677
        22        4.2763187003        4.4706351997      751.6489305027        4.2763187003        0.1943164995      0.01958483
        23        4.2588223339        4.4706327627      819.3183939441        4.2588223339        0.2118104288      0.01975000
        24        4.2406543604        4.4706337866      889.5991342302        4.2406543604        0.2299794262      0.01863680
        25        4.2218207574        4.4706313047      962.4410807789        4.2218207574        0.2488105473      0.01930126
        26        4.2023409615        4.4706313457     1037.7923691958        4.2023409615        0.2682903842      0.01921254
        27        4.1822249448        4.4706300211     1115.5993843516        4.1822249448        0.2884050764      0.01887742
        28        4.1614885229        4.4706288430     1195.8067976246        4.1614885229        0.3091403201      0.01916701
        29        4.1401481833        4.4706295649     1278.3576163219        4.1401481833        0.3304813817      0.01929730
        30        4.1182138865        4.4706269931     1363.1932200672        4.1182138865        0.3524131066      0.01927903
        31        4.0957057046        4.4706256365     1450.2534092407        4.0957057046        0.3749199319      0.02007172
        32        4.0726394186        4.4706253190     1539.4764582817        4.0726394186        0.3979859004      0.02018267
        33        4.0490295214        4.4706241920     1630.7991554272        4.0490295214        0.4215946706      0.01956373
        34        4.0248927647        4.4706222939     1724.1568513917        4.0248927647        0.4457295292      0.02008462
        35        4.0002477489        4.4706211545     1819.4835136473        4.0002477489        0.4703734056      0.02009403
        36        3.9751121180        4.4706210025     1916.7117773603        3.9751121180        0.4955088845      0.01938105
        37        3.9495026429        4.4706208620     2015.7729945289        3.9495026429        0.5211182191      0.01995292
        38        3.9234360144        4.4706193580     2116.5972836771        3.9234360144        0.5471833436      0.01932514
        39        3.8969317865        4.4706176743     2219.1135856787        3.8969317865        0.5736858877      0.01911812
        40        3.8700088043        4.4706159959     2323.2497209960        3.8700088043        0.6006071916      0.01942187
        41        3.8426862533        4.4706145729     2428.9324430234        3.8426862533        0.6279283196      0.01926084
        42        3.8149830983        4.4706131725     2536.0874933017        3.8149830983        0.6556300742      0.01922038
        43        3.7869189046        4.4706119158     2644.6396575178        3.7869189046        0.6836930112      0.01929946
        44        3.7585131770        4.4706106307     2754.5128224870        3.7585131770        0.7120974537      0.01923640
        45        3.7297861483        4.4706096555     2865.6300332691        3.7297861483        0.7408235072      0.01929032
        46        3.7007573140        4.4706083890     2977.9135516683        3.7007573140        0.7698510750      0.01934887
        47        3.6714472012        4.4706070738     3091.2849144025        3.6714472012        0.7991598725      0.01478703
        48        3.6418767876        4.4706062312     3205.6649929229        3.6418767876        0.8287294436      0.01925265
        49        3.6120661223        4.4706052972     3320.9740515072        3.6120661223        0.8585391749      0.01992456
        50        3.5820366291        4.4706049407     3437.1318071117        3.5820366291        0.8885683115      0.01920541
        51        3.5518065047        4.4706024763     3554.0574845785        3.5518065047        0.9187959716      0.01930887
        52        3.5213996849        4.4706008471     3671.6698803653        3.5213996849        0.9492011623      0.01926647
        53        3.4908365568        4.4705993540     3789.8874287679        3.4908365568        0.9797627972      0.02010005
        54        3.4601386177        4.4705983281     3908.6282564401        3.4601386177        1.0104597104      0.02005223
        55        3.4293278526        4.4705985252     4027.8102447450        3.4293278526        1.0412706725      0.02000446
        56        3.3984210618        4.4705954656     4147.3510795352        3.3984210618        1.0721744038      0.02013199
        57        3.3674443040        4.4705938957     4267.1683205377        3.3674443040        1.1031495917      0.02010345
        58        3.3364183464        4.4705932555     4387.1794709666        3.3364183464        1.1341749091      0.01998681
        59        3.3053628957        4.4705919214     4507.3020216523        3.3053628957        1.1652290258      0.02011556
        60        3.2742992598        4.4705898843     4627.4535143860        3.2742992598        1.1962906245      0.02012807
        61        3.2432511955        4.4705896149     4747.5516113173        3.2432511955        1.2273384193      0.01966608
        62        3.2122363049        4.4705874729     4867.5141438476        3.2122363049        1.2583511680      0.01873638
        63        3.1812784049        4.4705860927     4987.2591732539        3.1812784049        1.2893076878      0.01920658
        64        3.1503985338        4.4705854065     5106.7050585660        3.1503985338        1.3201868727      0.01994397
        65        3.1196155749        4.4705832809     5225.7705031262        3.1196155749        1.3509677059      0.02011389
        66        3.0889542739        4.4705835510     5344.3746217544        3.0889542739        1.3816292771      0.01957219
        67        3.0584299988        4.4705807940     5462.4369915651        3.0584299988        1.4121507952      0.02000441
        68        3.0280687084        4.4705803130     5579.8777131262        3.0280687084        1.4425116046      0.01900842
        69        2.9978867998        4.4705780000     5696.6174692006        2.9978867998        1.4726912002      0.01927534
        70        2.9679079641        4.4705772048     5812.5775763053        2.9679079641        1.5026692407      0.01883998
        71        2.9381504948        4.4705760594     5927.6800463540        2.9381504948        1.5324255646      0.01921244
        72        2.9086346194        4.4705748214     6041.8476319745        2.9086346194        1.5619402020      0.01992171
        73        2.8793816081        4.4705749991     6155.0038918574        2.8793816081        1.5911933911      0.01915369
        74        2.8504063226        4.4705719116     6267.0732305821        2.8504063226        1.6201655890      0.01920256
        75        2.8217335248        4.4705710124     6377.9809609132        2.8217335248        1.6488374876      0.01874457
        76        2.7933810071        4.4705710369     6487.6533666266        2.7933810071        1.6771900298      0.01921106
        77        2.7653641838        4.4705685995     6596.0177276287        2.7653641838        1.7052044158      0.01912655
        78        2.7377055293        4.4705676497     6703.0023846779        2.7377055293        1.7328621204      0.01916864
        79        2.7104222483        4.4705671558     6808.5367979575        2.7104222483        1.7601449075      0.01994677
        80        2.6835312048        4.4705660441     6912.5515809428        2.6835312048        1.7870348393      0.02002984
        81        2.6570499792        4.4705642680     7014.9785489553        2.6570499792        1.8135142888      0.02012494
        82        2.6309969505        4.4705629039     7115.7507730321        2.6309969505        1.8395659534      0.02006050
        83        2.6053897004        4.4705625678     7214.8026269503        2.6053897004        1.8651728674      0.02006277
        84        2.5802436952        4.4705621075     7312.0698274066        2.5802436952        1.8903184123      0.02003709
        85        2.5555747530        4.4705610800     7407.4894740117        2.5555747530        1.9149863270      0.02010992
        86        2.5313990149        4.4705597348     7501.0000949135        2.5313990149        1.9391607198      0.02013221
        87        2.5077321044        4.4705581841     7592.5416905641        2.5077321044        1.9628260797      0.02015012
        88        2.4845899366        4.4705572236     7682.0557760150        2.4845899366        1.9859672870      0.02009225
        89        2.4619870771        4.4705567008     7769.4854188720        2.4619870771        2.0085696236      0.01867093
        90        2.4399367991        4.4705555805     7854.7752730478        2.4399367991        2.0306187815      0.01874229
        91        2.4184539609        4.4705548341     7937.8716202255        2.4184539609        2.0521008732      0.01996754
        92        2.3975515215        4.4705539631     8018.7224051366        2.3975515215        2.0730024416      0.02008429
        93        2.3772427969        4.4705532647     8097.2772689462        2.3772427969        2.0933104678      0.01994342
        94        2.3575399360        4.4705523163     8173.4875830043        2.3575399360        2.1130123803      0.01993157
        95        2.3384559042        4.4705519677     8247.3064819160        2.3384559042        2.1320960634      0.01957763
        96        2.3200011681        4.4705510334     8318.6888942438        2.3200011681        2.1505498654      0.01998246
        97        2.3021876077        4.4705502132     8387.5915716145        2.3021876077        2.1683626055      0.01921835
        98        2.2850260833        4.4705496659     8453.9731198365        2.2850260833        2.1855235826      0.01940825
        99        2.2685263337        4.4705489146     8517.7940226237        2.2685263337        2.2020225809      0.01991569
       100        2.2526987233        4.4705486006     8579.0166694251        2.2526987233        2.2178498773      0.02006044
       101        2.2375522608        4.4705485084     8637.6053795748        2.2375522608        2.2329962476      0.02011841
       102        2.2230954378        4.4705484102     8693.5264247391        2.2230954378        2.2474529724      0.02012064
       103        2.2093363521        4.4705481949     8746.7480512636        2.2093363521        2.2612118428      0.00844959
       104        2.1962820159        4.4705471803     8797.2404967497        2.1962820159        2.2742651644      0.02009487
       105        2.1839407081        4.4705464725     8844.9760147036        2.1839407081        2.2866057644      0.02013383
       106        2.1723188164        4.4705458120     8889.9288930995        2.1723188164        2.2982269955      0.01922283
       107        2.1614230414        4.4705457817     8932.0754680158        2.1614230414        2.3091227403      0.02010356
       108        2.1512584368        4.4705458517     8971.3941404005        2.1512584368        2.3192874149      0.01858137
       109        2.1418303109        4.4705462834     9007.8653883689        2.1418303109        2.3287159725      0.02001839
       110        2.1331411161        4.4705450204     9041.4717712014        2.1331411161        2.3374039043      0.02002226
       111        2.1251974765        4.4705447216     9072.1979502881        2.1251974765        2.3453472450      0.02008106
       112        2.1180017690        4.4705443449     9100.0307013724        2.1180017690        2.3525425759      0.01941672
       113        2.1115577985        4.4705448239     9124.9589165108        2.1115577985        2.3589870253      0.01990907
       114        2.1058666872        4.4705449574     9146.9736093981        2.1058666872        2.3646782701      0.01936055
       115        2.1009296592        4.4705441952     9166.0679168125        2.1009296592        2.3696145360      0.01894804
       116        2.0967496488        4.4705442501     9182.2371129345        2.0967496488        2.3737946013      0.01888160
       117        2.0933269007        4.4705446975     9195.4786091920        2.0933269007        2.3772177967      0.01941995
       118        2.0906606889        4.4705446928     9205.7919476421        2.0906606889        2.3798840040      0.01935197
       119        2.0887504484        4.4705441038     9213.1788009186        2.0887504484        2.3817936554      0.01889380
       120        2.0875965324        4.4705442680     9217.6429774752        2.0875965324        2.3829477357      0.01931031
       121        2.0871977436        4.4705455244     9219.1904193830        2.0871977436        2.3833477808      0.02008696
       122        2.0875489738        4.4705448476     9217.8291838766        2.0875489738        2.3829958738      0.01888027
       123        2.0886505163        4.4705451614     9213.5694459978        2.0886505163        2.3818946451      0.01927431
       124        2.0904986755        4.4705459477     9206.4234967681        2.0904986755        2.3800472722      0.01997018
       125        2.0930884522        4.4705459261     9196.4057208372        2.0930884522        2.3774574739      0.01945258
       126        2.0964162038        4.4705457121     9183.5325896208        2.0964162038        2.3741295083      0.02002132
       127        2.1004784437        4.4705466160     9167.8226581477        2.1004784437        2.3700681723      0.01931808
       128        2.1052681655        4.4705469613     9149.2965438563        2.1052681655        2.3652787958      0.01938090
       129        2.1107797010        4.4705469382     9127.9769073294        2.1107797010        2.3597672372      0.02007633
       130        2.1170082003        4.4705480815     9103.8884461034        2.1170082003        2.3535398812      0.01922982
       131        2.1239451052        4.4705487388     9077.0578728163        2.1239451052        2.3466036336      0.02003510
       132        2.1315827095        4.4705486242     9047.5138900895        2.1315827095        2.3389659146      0.01882397
       133        2.1399148682        4.4705495243     9015.2871796743        2.1399148682        2.3306346561      0.01944323
       134        2.1489325064        4.4705508022     8980.4103802474        2.1489325064        2.3216182958      0.01943786
       135        2.1586247541        4.4705505222     8942.9180511898        2.1586247541        2.3119257680      0.01922722
       136        2.1689846822        4.4705511824     8902.8466594282        2.1689846822        2.3015665002      0.01931216
       137        2.1800020981        4.4705525058     8860.2345592075        2.1800020981        2.2905504077      0.02009270
       138        2.1916647921        4.4705526751     8815.1219503661        2.1916647921        2.2788878830      0.01923416
       139        2.2039633236        4.4705531133     8767.5508553269        2.2039633236        2.2665897897      0.01955888
       140        2.2168870802        4.4705545374     8717.5650980099        2.2168870802        2.2536674572      0.01936645
