      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0        4.4696912574        4.4696912574        0.0000000000        4.4696912574        0.0000000000      0.00000000
         1        4.4285465723        4.4695064613      158.4397455382        4.4285465723        0.0409598890      1.74560629
         2        4.3080499923        4.4689687116      622.4606946150        4.3080499923        0.1609187193      1.93578091
         3        4.1167724835        4.4681159806     1359.0557907063        4.1167724835        0.3513434971      1.83734056
         4        3.8682624925        4.4670183954     2316.0886248032        3.8682624925        0.5987559029      1.60295418
         5        3.5799859049        4.4657600619     3426.3235471660        3.5799859049        0.8857741570      1.87034072
         6        3.2719972715        4.4644325240     4612.5402864616        3.2719972715        1.1924352525      1.96378934
         7        2.9654531600        4.4631361815     5793.2900408477        2.9654531600        1.4976830214      1.99613245
         8        2.6810621448        4.4619633305     6888.8255762024        2.6810621448        1.7809011857      1.97250090
         9        2.4376151332        4.4609920240     7826.7624209407        2.4376151332        2.0233768908      1.88194779
        10        2.2506962688        4.4602921208     8547.0887099132        2.2506962688        2.2095958519      1.94832186
        11        2.1316187262        4.4599086487     9006.2173553260        2.1316187262        2.3282899225      1.81502487
        12        2.0866898245        4.4598686621     9179.8552350757        2.0866898245        2.3731788375      1.90484830
        13        2.1168062722        4.4601740289     9064.5409562343        2.1168062722        2.3433677567      1.94795531
        14        2.2174222440        4.4608030422     8677.7745693549        2.2174222440        2.2433807982      1.93036737
        15        2.3788863654        4.4617154535     8056.7335279077        2.3788863654        2.0828290881      1.98345894
        16        2.5871178992        4.4628480433     7255.6399503240        2.5871178992        1.8757301441      2.01404916
        17        2.8246070332        4.4641214424     6341.9177239026        2.8246070332        1.6395144091      1.93583262
        18        3.0716689885        4.4654429868     5391.3524476639        3.0716689885        1.3937739983      1.84689175
        19        3.3078873972        4.4667152861     4482.5413468080        3.3078873972        1.1588278889      1.93966636
        20        3.5136424764        4.4678386418     3690.9913933883        3.5136424764        0.9541961654      1.98291628
        21        3.6716304905        4.4687228020     3083.2872404011        3.6716304905        0.7970923115      4.19892087
        22        3.7682389049        4.4692927856     2711.7944232527        3.7682389049        0.7010538807      4.17545645
        23        3.7946663404        4.4695000309     2610.3703134412        3.7946663404        0.6748336904      4.19139331
        24        3.7476639851        4.4693248635     2791.5057591221        3.7476639851        0.7216608784      4.17497541
        25        3.6298274138        4.4687782255     3245.2029650526        3.6298274138        0.8389508116      4.10870596
        26        3.4494079163        4.4679049407     3939.7179398236        3.4494079163        1.0184970243      1.91390248
        27        3.2196492772        4.4667743150     4824.0895823766        3.2196492772        1.2471250378      1.98074863
        28        2.9577366934        4.4654749423     5832.1853536351        2.9577366934        1.5077382490      1.99993303
        29        2.6834549709        4.4641045940     6887.8524899134        2.6834549709        1.7806496232      1.98313331
        30        2.4176867557        4.4627609965     7910.6914230887        2.4176867557        2.0450742408      1.94299429
        31        2.1808827559        4.4615386154     8821.9607812340        2.1808827559        2.2806558595      1.97276935
        32        1.9916059844        4.4605177614     9550.1663601900        1.9916059844        2.4689117770      1.97346766
        33        1.8652617960        4.4597617716    10035.9626537563        1.8652617960        2.5944999757      1.95057656
        34        1.8130760835        4.4593140838    10236.0940422927        1.8130760835        2.6462380003      1.96720064
        35        1.8413681174        4.4592007160    10126.2171668187        1.8413681174        2.6178325986      1.94403662
        36        1.9511180195        4.4594284739     9702.5670768602        1.9511180195        2.5083104545      1.98096518
        37        2.1378232464        4.4599917461     8982.5386611898        2.1378232464        2.3221684996      1.88243658
        38        2.3915926294        4.4608711774     8004.3177579184        2.3915926294        2.0692785480      1.97572711
        39        2.6974612415        4.4620341270     6825.6649623002        2.6974612415        1.7645728855      2.01651475
        40        3.0359392912        4.4634340700     5521.7901029517        3.0359392912        1.4274947787      1.99618743
        41        3.3838678275        4.4649941086     4181.9784475891        3.3838678275        1.0811262810      1.95731921
reaction occured at step 41 between IDs 1 and 2
