      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0        4.4706424297        4.4706424297        0.0000000000        4.4706424297        0.0000000000      0.00000000
         1        4.4294975720        4.4704579808      158.4417563929        4.4294975720        0.0409604088      0.18293086
         2        4.3090001770        4.4699209481      622.4686315520        4.3090001770        0.1609207711      0.18216579
         3        4.1177215949        4.4690696061     1359.0732521058        4.1177215949        0.3513480113      0.18359024
         4        3.8692104989        4.4679741765     2316.1186984625        3.8692104989        0.5987636776      0.19249840
         5        3.5809332540        4.4667190700     3426.3686459117        3.5809332540        0.8857858160      0.18386317
         6        3.2729439583        4.4653951660     4612.6020037281        3.2729439583        1.1924512077      0.19224362
         7        2.9663995384        4.4641029828     5793.3690402530        2.9663995384        1.4977034444      0.18471318
         8        2.6820092075        4.4629352128     6888.9215823204        2.6820092075        1.7809260052      0.19182182
         9        2.4385635397        4.4619693465     7826.8742730252        2.4385635397        2.0234058069      0.19240233
        10        2.2516470808        4.4612754509     8547.2144956239        2.2516470808        2.2096283701      0.19267034
        11        2.1325728579        4.4608982757     9006.3546572079        2.1325728579        2.3283254178      0.19235739
        12        2.0876483927        4.4608650319     9180.0014584375        2.0876483927        2.3732166392      0.18407797
        13        2.1177693726        4.4611766152     9064.6936943477        2.1177693726        2.3434072426      0.18391262
        14        2.2183905175        4.4618120194     8677.9320181377        2.2183905175        2.2434215019      0.18403637
        15        2.3798594219        4.4627302288     8056.8949030322        2.3798594219        2.0828708068      0.18314535
        16        2.5880954015        4.4638684297     7255.8058331464        2.5880954015        1.8757730282      0.19283079
        17        2.8255876491        4.4651466673     6342.0902793547        2.8255876491        1.6395590182      0.17726833
        18        3.0726514177        4.4664727320     5391.5354738634        3.0726514177        1.3938213142      0.17692388
        19        3.3088696031        4.4677488767     4482.7401110594        3.3088696031        1.1588792735      0.19136397
        20        3.5146225588        4.4688758142     3691.2122272136        3.5146225588        0.9542532554      0.44145997
        21        3.6726068777        4.4697637374     3083.5369235339        3.6726068777        0.7971568597      0.44937021
        22        3.7692099089        4.4703374562     2712.0793781853        3.7692099089        0.7011275474      0.50386934
        23        3.7956309204        4.4705487332     2610.6957130857        3.7956309204        0.6749178128      0.49945954
        24        3.7486218856        4.4703781288     2791.8746460579        3.7486218856        0.7217562431      0.43374551
        25        3.6307793945        4.4698368518     3245.6154884196        3.6307793945        0.8390574573      0.18523246
        26        3.4503553288        4.4689694332     3940.1708255292        3.4503553288        1.0186141045      0.18596629
        27        3.2205947596        4.4678455212     4824.5759031864        3.2205947596        1.2472507616      0.17600359
        28        2.9586835576        4.4665534654     5832.6946320636        2.9586835576        1.5078699078      0.18470706
        29        2.6844074680        4.4651911707     6888.3711322448        2.6844074680        1.7807837027      0.19308868
        30        2.4186494669        4.4638560775     7911.2034517932        2.4186494669        2.0452066106      0.19509598
        31        2.1818604031        4.4626424303     8822.4488190254        2.1818604031        2.2807820272      0.19282207
        32        1.9926034602        4.4616306393     9550.6127548319        1.9926034602        2.4690271791      0.18518088
        33        1.8662830525        4.4608833549    10036.3507343724        1.8662830525        2.5946003024      0.18553024
        34        1.8141246002        4.4604441381    10236.4094437235        1.8141246002        2.6463195380      0.19399467
        35        1.8424458862        4.4603384577    10126.4491520850        1.8424458862        2.6178925715      0.18606225
        36        1.9522256474        4.4605730056     9702.7098267508        1.9522256474        2.5083473582      0.18659012
        37        2.1389597691        4.4611421631     8982.5924069501        2.1389597691        2.3221823940      0.19455865
        38        2.3927555973        4.4620268656     8004.2895988366        2.3927555973        2.0692712683      0.19488562
        39        2.6986455609        4.4631936755     6825.5691442775        2.6986455609        1.7645481146      0.19524735
        40        3.0371386729        4.4645965395     5521.6473206095        3.0371386729        1.4274578666      0.19485942
        41        3.3850749208        4.4661586374     4181.8138009450        3.3850749208        1.0810837165      0.18572183
        42        3.3874215118        4.1382214407     2904.2205117086        3.7169605741        0.7507999289      0.19613978
reaction occured at step 42 between IDs 1 and 2
        43        3.2080522271        4.1373797242     3594.7951980856        3.2080522271        0.9293274971      0.08940255
        44        3.0075390544        4.1365272096     4367.1162339480        3.0075390544        1.1289881553      0.19353674
        45        2.8004384302        4.1356934356     5164.9911323487        2.8004384302        1.3352550054      0.19476412
        46        2.6009838499        4.1349093504     5933.4820508436        2.6009838499        1.5339255005      0.19480391
        47        2.4225335831        4.1342105167     6621.0545157620        2.4225335831        1.7116769335      0.06743568
        48        2.2769901726        4.1336323210     7181.8043698509        2.2769901726        1.8566421484      0.19493542
        49        2.1742032464        4.1332133374     7577.7808037977        2.1742032464        1.9590100910      0.19456858
        50        2.1213828679        4.1329837676     7781.2109052690        2.1213828679        2.0116008998      0.19468146
        51        2.1226229810        4.1329672900     7776.3502006248        2.1226229810        2.0103443090      0.19519109
        52        2.1785777944        4.1331717485     7560.6984428107        2.1785777944        1.9545939540      0.19532996
        53        2.2863605907        4.1335883285     7145.3878448914        2.2863605907        1.8472277378      0.19564421
        54        2.4396859769        4.1341938490     6554.6416958868        2.4396859769        1.6945078721      0.19518057
        55        2.6292521440        4.1349504300     5824.2944333091        2.6292521440        1.5056982859      0.19548116
        56        2.8433488279        4.1358085639     4999.4518261503        2.8433488279        1.2924597359      0.50296371
        57        3.0686464655        4.1367090922     4131.4460331445        3.0686464655        1.0680626266      0.50167558
        58        3.2911174094        4.1375907281     3274.3012887566        3.2911174094        0.8464733187      0.50259400
        59        3.4970104166        4.1383913665     2480.9694817769        3.4970104166        0.6413809499      0.50563750
