      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0        4.1279429906        4.1279429906        0.0000000000        4.4696912574        0.0000000000      0.00000000
         1        4.1107730879        4.1279284086       66.3596684260        4.4461755540        0.0171553207      1.21337931
         2        4.0594933705        4.1278852109      264.5511512373        4.3762410160        0.0683918403      1.73673855
         3        3.9747951069        4.1278062701      591.8729363040        4.2617376914        0.1530111631      1.98438214
         4        3.8578720194        4.1276913110     1043.7064400849        4.1058330588        0.2698192916      2.01410513
         5        3.7104478976        4.1275321992     1613.3522891072        3.9130804250        0.4170843017      2.05972414
         6        3.5348691213        4.1273102211     2291.6619033263        3.6895108329        0.5924410998      2.10360403
         7        3.3343625336        4.1269800208     3065.9778668023        3.4427036893        0.7926174873      2.12419616
         8        3.1136711160        4.1264646470     3917.6558676131        3.1818301087        1.0127935310      2.11755553
         9        2.8801057367        4.1256904547     4818.1313658134        2.9176032432        1.2455847179      2.08352708
        10        2.6444916953        4.1246836841     5725.6317822681        2.6620113388        1.4801919888      2.10256660
        11        2.4208739921        4.1236167342     6586.4955591006        2.4276263697        1.7027427420      2.07440319
        12        2.2243686595        4.1227224709     7343.1521039153        2.2264621489        1.8983538114      2.10555962
        13        2.0681095224        4.1221480443     7945.3667713444        2.0686227496        2.0540385219      2.09351742
        14        1.9610411810        4.1219176239     8358.6338345691        1.9611401410        2.1608764429      2.08742758
        15        1.9072343192        4.1219973271     8567.0761391706        1.9072494775        2.2147630080      2.12912585
        16        1.9061256814        4.1223455218     8572.7114121943        1.9061275786        2.2162198404      2.11693703
        17        1.9530267175        4.1229226982     8393.5229247070        1.9530269211        2.1698959806      2.03177767
        18        2.0397193771        4.1236801149     8061.1109394501        2.0397193972        2.0839607378      2.03115134
        19        2.1552069146        4.1245546310     7617.7684792132        2.1552069166        1.9693477164      2.06524116
        20        2.2866586628        4.1254782456     7112.8636859058        2.2866586630        1.8388195828      2.10268859
        21        2.4204854846        4.1263709060     6598.6519720343        2.4204854846        1.7058854214      2.08772823
        22        2.5435148557        4.1271568488     6125.7938132938        2.5435148557        1.5836419931      2.04444369
        23        2.6441348590        4.1277663098     5738.9362003721        2.6441348590        1.4836314508      2.12288958
        24        2.7133259586        4.1281447257     5472.7571564003        2.7133259586        1.4148187672      2.12531737
        25        2.7454666340        4.1282579179     5348.8694597518        2.7454666340        1.3827912839      2.10862252
        26        2.7388303453        4.1280974283     5373.9189406124        2.7388303453        1.3892670830      2.02101314
        27        2.6957119201        4.1276799663     5539.0934544895        2.6957119201        1.4319680462      2.04450136
        28        2.6221765746        4.1270481427     5821.0965496477        2.6221765746        1.5048715681      2.07078780
        29        2.5274497642        4.1262598713     6184.4666316590        2.5274497642        1.5988101071      2.12831307
        30        2.4230403299        4.1253895475     6584.9733405426        2.4230403299        1.7023492176      2.05522680
        31        2.3216633211        4.1245125001     6973.7241088965        2.3216633213        1.8028491790      1.99552789
        32        2.2360977023        4.1237028228     7301.5743579260        2.2360977033        1.8876051205      1.95110165
        33        2.1780633651        4.1230269512     7523.4465582480        2.1780633724        1.9449635860      2.01550537
        34        2.1572133663        4.1225390227     7602.2104742210        2.1572134188        1.9653256564      1.61693676
        35        2.1803126084        4.1222763208     7511.8425421760        2.1803129563        1.9419637124      1.72516360
        36        2.2506607564        4.1222587011     7239.6559071928        2.2506627576        1.8715979446      1.73894703
        37        2.3677863518        4.1224849894     6787.4697088984        2.3677960426        1.7546986375      1.83450372
        38        2.5274407737        4.1229407322     6171.6624194573        2.5274795909        1.5954999585      1.58320569
        39        2.7218636311        4.1235907394     5422.1164163782        2.7219913816        1.4017271084      1.78753941
        40        2.9403349297        4.1243823648     4580.0947967022        2.9406808998        1.1840474351      1.83431801
        41        3.1699874618        4.1252526271     3695.1264650501        3.1707639985        0.9552651653      2.05016896
        42        3.3968146940        4.1261255286     2821.0970774199        3.3982742414        0.7293108346      2.13760317
        43        3.6068012265        4.1269353744     2011.9664415695        3.6091244104        0.5201341479      2.14913928
        44        3.7869747977        4.1276238223     1317.6877707414        3.7901383788        0.3406490246      2.16357423
        45        3.9263002488        4.1281506449      780.7913107606        3.9300138987        0.2018503961      2.11095629
        46        4.0163471831        4.1284835726      433.7624314175        4.0201198209        0.1121363896      2.13735102
        47        4.0518004898        4.1285977139      297.0645906480        4.0551156985        0.0767972241      2.12513042
        48        4.0308482282        4.1284760133      377.6407070992        4.0333552997        0.0976277851      2.15239430
        49        3.9554365495        4.1281146274      667.9478732864        3.9570522610        0.1726780779      2.15501823
        50        3.8313086305        4.1275312294     1145.8388772660        3.8321836333        0.2962225988      2.11483683
        51        3.6677209609        4.1267673921     1775.6688697674        3.6681122728        0.4590464312      1.97907195
        52        3.4767983896        4.1258834815     2510.7703998805        3.4769400974        0.6490850919      2.16810473
        53        3.2725981326        4.1249495025     3297.0385800708        3.2726388645        0.8523513699      2.21440798
        54        3.0700207802        4.1240336294     4077.0991289920        3.0700299045        1.0540128492      2.14729278
