      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0        4.4706424297        4.4706424297        0.0000000000        4.4706424297        0.0000000000      0.00000000
         1        4.4294975720        4.4704575895      158.4417563929        4.4294975720        0.0409604088      0.12713825
         2        4.3090001770        4.4699194110      622.4686315520        4.3090001770        0.1609207711      0.12760496
         3        4.1177215949        4.4690662500     1359.0732521058        4.1177215949        0.3513480113      0.12715208
         4        3.8692104989        4.4679684570     2316.1186984625        3.8692104989        0.5987636776      0.12409736
         5        3.5809332540        4.4667106089     3426.3686459117        3.5809332540        0.8857858160      0.12304731
         6        3.2729439583        4.4653837756     4612.6020037281        3.2729439583        1.1924512077      0.12420539
         7        2.9663995384        4.4640886766     5793.3690402530        2.9663995384        1.4977034444      0.12183111
         8        2.6820092075        4.4629182013     6888.9215823204        2.6820092075        1.7809260052      0.12179856
         9        2.4385635397        4.4619500188     7826.8742730252        2.4385635397        2.0234058069      0.12496564
        10        2.2516470808        4.4612543444     8547.2144956239        2.2516470808        2.2096283701      0.12525265
        11        2.1325728579        4.4608760355     9006.3546572079        2.1325728579        2.3283254178      0.12584813
        12        2.0876483927        4.4608423628     9180.0014584375        2.0876483927        2.3732166392      0.04173324
        13        2.1177693726        4.4611542309     9064.6936943477        2.1177693726        2.3434072426      0.10593922
        14        2.2183905175        4.4617905902     8677.9320181377        2.2183905175        2.2434215019      0.10572349
        15        2.3798594219        4.4627103331     8056.8949030322        2.3798594219        2.0828708068      0.08901320
        16        2.5880954015        4.4638505122     7255.8058331464        2.5880954015        1.8757730282      0.08835453
        17        2.8255876491        4.4651310061     6342.0902793547        2.8255876491        1.6395590182      0.10225608
        18        3.0726514177        4.4664594181     5391.5354738634        3.0726514177        1.3938213142      0.11666729
        19        3.3088696031        4.4677378070     4482.7401110594        3.3088696031        1.1588792735      0.12310688
        20        3.5146225588        4.4688666991     3691.2122272136        3.5146225588        0.9542532554      0.16592091
        21        3.6726068777        4.4697561230     3083.5369235339        3.6726068777        0.7971568597      0.17570023
        22        3.7692099089        4.4703307590     2712.0793781853        3.7692099089        0.7011275474      0.17054028
        23        3.7956309204        4.4705422864     2610.6957130857        3.7956309204        0.6749178128      0.16045440
        24        3.7486218856        4.4703712345     2791.8746460579        3.7486218856        0.7217562431      0.15626060
        25        3.6307793945        4.4698288371     3245.6154884196        3.6307793945        0.8390574573      0.02623707
        26        3.4503553288        4.4689597034     3940.1708255292        3.4503553288        1.0186141045      0.12319518
        27        3.2205947596        4.4678336074     4824.5759031864        3.2205947596        1.2472507616      0.12847604
        28        2.9586835576        4.4665390621     5832.6946320636        2.9586835576        1.5078699078      0.12701837
        29        2.6844074680        4.4651741606     6888.3711322448        2.6844074680        1.7807837027      0.12786407
        30        2.4186494669        4.4638365416     7911.2034517932        2.4186494669        2.0452066106      0.12782055
        31        2.1818604031        4.4626206441     8822.4488190254        2.1818604031        2.2807820272      0.12811178
        32        1.9926034602        4.4616070550     9550.6127548319        1.9926034602        2.4690271791      0.12816026
        33        1.8662830525        4.4608585712    10036.3507343724        1.8662830525        2.5946003024      0.12710725
        34        1.8141246002        4.4604188604    10236.4094437235        1.8141246002        2.6463195380      0.12452934
        35        1.8424458862        4.4603134514    10126.4491520850        1.8424458862        2.6178925715      0.12595376
        36        1.9522256474        4.4605490458     9702.7098267508        1.9522256474        2.5083473582      0.12719782
        37        2.1389597691        4.4611199815     8982.5924069501        2.1389597691        2.3221823940      0.12591153
        38        2.3927555973        4.4620070998     8004.2895988366        2.3927555973        2.0692712683      0.12760967
        39        2.6986455609        4.4631768204     6825.5691442775        2.6986455609        1.7645481146      0.12626711
        40        3.0371386729        4.4645829043     5521.6473206095        3.0371386729        1.4274578666      0.12066423
        41        3.3850749208        4.4661483108     4181.8138009450        3.3850749208        1.0810837165      0.12842186
reaction occured at step 41 between IDs 1 and 2
        42        3.3874215118        4.4196922716     3993.0352091246        3.3874215118        1.0322806202      0.06845728
        43        3.1592614161        4.4187312755     4871.8879666218        3.1592614161        1.2594818900      0.12505102
        44        2.9230227799        4.4178178507     5782.1741933669        2.9230227799        1.4948093493      0.12322136
        45        2.6946432963        4.4169669711     6662.3015418219        2.6946432963        1.7223401267      0.12487069
        46        2.4889088643        4.4162057503     7455.1800007919        2.4889088643        1.9273152958      0.11788000
        47        2.3189864194        4.4155701807     8110.0163862981        2.3189864194        2.0966037881      0.12451908
        48        2.1958553037        4.4151017425     8584.5008038347        2.1958553037        2.2192676373      0.12586955
        49        2.1276918153        4.4148364428     8847.1449366082        2.1276918153        2.2871664747      0.12580640
        50        2.1193230857        4.4148020644     8879.3839176063        2.1193230857        2.2955009054      0.12404766
        51        2.1718341029        4.4150113742     8677.0701767730        2.1718341029        2.2431986984      0.12388122
        52        2.2824065872        4.4154586840     8251.0833944926        2.2824065872        2.1330724720      0.12345686
        53        2.4444301080        4.4161202348     7626.9021694188        2.4444301080        1.9717089606      0.12436396
        54        2.6478916729        4.4169556348     6843.1025676532        2.6478916729        1.7690808603      0.12517651
        55        2.8800244026        4.4179097242     5948.8561294687        2.8800244026        1.5379000118      0.16893003
        56        3.1261749387        4.4189170272     5000.5917792563        3.1261749387        1.2927544369      0.18002065
        57        3.3708263380        4.4199072814     4058.0604501783        3.3708263380        1.0490909644      0.18158161
        58        3.5986990967        4.4208106258     3180.0961621737        3.5986990967        0.8221193821      0.15564650
        59        3.7958455250        4.4215620911     2420.4001282894        3.7958455250        0.6257225431      0.17885496
        60        3.9506543103        4.4221085072     1823.6816161309        3.9506543103        0.4714587003      0.17680605
        61        4.0546793587        4.4224124069     1422.4669209066        4.0546793587        0.3677365609      0.17463508
        62        4.1032283036        4.4224551851     1234.8351104613        4.1032283036        0.3192299309      0.15573078
        63        4.0956624080        4.4222374375     1263.2592550264        4.0956624080        0.3265781490      0.13269517
        64        4.0353907934        4.4217801284     1494.6332678061        4.0353907934        0.3863930258      0.16091645
        65        3.9295593728        4.4211207432     1901.4602912307        3.9295593728        0.4915660659      0.13459659
        66        3.7884743447        4.4203133084     2444.0828188998        3.7884743447        0.6318449991      0.14138021
        67        3.6247945274        4.4194157742     3073.7581063903        3.6247945274        0.7946288371      0.11082689
        68        3.4525885708        4.4184965129     3736.3302066052        3.4525885708        0.9659171685      0.15437051
        69        3.2862900933        4.4176213300     4376.2214693520        3.2862900933        1.1313420434      0.17072950
        70        3.1396552155        4.4168518061     4940.4586020757        3.1396552155        1.2772087905      0.17316927
        71        3.0247810659        4.4162421551     5382.4571398072        3.0247810659        1.3914743807      0.17249501
        72        2.9512505425        4.4158344305     5665.3111363236        2.9512505425        1.4645978779      0.17401077
        73        2.9254632615        4.4156557634     5764.3705118027        2.9254632615        1.4902067364      0.17211201
        74        2.9501965327        4.4157174721     5668.9358435189        2.9501965327        1.4655349383      0.17228917
        75        3.0244228457        4.4160135099     5382.9583623718        3.0244228457        1.3916039569      0.17173234
        76        3.1433995714        4.4165220249     4924.6990033867        3.1433995714        1.2731346145      0.16844399
        77        3.2990204321        4.4172059024     4325.3709463420        3.2990204321        1.1181961514      0.17046648
        78        3.4804064578        4.4180145881     3626.8607248356        3.4804064578        0.9376170864      0.16766388
        79        3.6746966690        4.4188889282     2878.6884301388        3.6746966690        0.7441993678      0.16479554
        80        3.8679801367        4.4197664703     2134.4228120907        3.8679801367        0.5517916044      0.16995920
        81        4.0462998867        4.4205839818     1447.8077146692        4.0462998867        0.3742876703      0.17076610
        82        4.1966611055        4.4212817082      868.8786027066        4.1966611055        0.2246227483      0.17072507
        83        4.3079708647        4.4218092062      440.3500742644        4.3079708647        0.1138394289      0.17130938
        84        4.3718376244        4.4221288943      194.5369561111        4.3718376244        0.0502917503      0.17285250
        85        4.3831731840        4.4222181314      151.0338722290        4.3831731840        0.0390453204      0.17533469
        86        4.3405541563        4.4220709852      315.3238284539        4.3405541563        0.0815176076      0.17709507
        87        4.2463160121        4.4216995123      678.4193822536        4.2463160121        0.1753851754      0.17598820
        88        4.1063689512        4.4211312465     1217.5651746140        4.1063689512        0.3147653020      0.17556744
        89        3.9297553050        4.4204100435     1897.9532526692        3.9297553050        0.4906594253      0.17205563
        90        3.7279693516        4.4195894274     2675.3284328079        3.7279693516        0.6916266823      0.17113343
        91        3.5141015710        4.4187317566     3499.2952652172        3.5141015710        0.9046388268      0.17462329
        92        3.3018586175        4.4179022472     4317.0858669741        3.3018586175        1.1160542903      0.17494659
        93        3.1045364698        4.4171640588     5077.5129772711        3.1045364698        1.3126401274      0.16726340
        94        2.9340219577        4.4165745302     5734.8176965385        2.9340219577        1.4825667340      0.17351627
        95        2.7998948763        4.4161812732     6252.1275829766        2.7998948763        1.6163018359      0.17321272
        96        2.7086949733        4.4160157574     6604.2672808711        2.7086949733        1.7073370927      0.17268941
        97        2.6634190680        4.4160944476     6779.7081670159        2.6634190680        1.7526921215      0.17552067
        98        2.6632761972        4.4164152380     6781.5017032961        2.6632761972        1.7531557870      0.17708209
        99        2.7037304161        4.4169561146     6627.1087018906        2.7037304161        1.7132420635      0.17263347
