      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0        4.1288978591        4.6459384391     2000.0000000000        4.4706424297        0.5170405800      0.00000000
         1        4.0920823803        4.6310205778     2084.7036705707        4.3893000851        0.5389381975      0.18713355
         2        4.0187656435        4.6565007994     2466.8669366634        4.2660051686        0.6377351559      0.18922166
         3        3.9053292626        4.6519803098     2888.1719385850        4.0985771501        0.7466510471      0.18303619
         4        3.7542460890        4.6003678040     3272.9412262738        3.8947179930        0.8461217150      0.19227626
         5        3.5720208929        4.5824381588     3908.4640742079        3.6660671264        1.0104172659      0.19153237
         6        3.3599530715        4.5313061369     4530.9908377107        3.4162039371        1.1713530654      0.19154705
         7        3.1290665103        4.5337741927     5433.6457785367        3.1585372668        1.4047076824      0.19248613
         8        2.8866657619        4.5528610932     6445.1240224037        2.8996040637        1.6661953314      0.19054342
         9        2.6479161984        4.5532932596     7370.3192164818        2.6524955066        1.9053770612      0.17402790
        10        2.4318320179        4.5573791963     8221.9742921333        2.4331054035        2.1255471784      0.18553356
        11        2.2538387001        4.4903006553     8651.0113198410        2.2541101907        2.2364619552      0.19077765
        12        2.1271045287        4.5144436434     9234.6295706699        2.1271496843        2.3873391147      0.19228085
        13        2.0550903459        4.4725629982     9351.1911665746        2.0550960359        2.4174726522      0.18252913
        14        2.0406438648        4.4677902568     9388.6108203367        2.0406444362        2.4271463920      0.18333993
        15        2.0806381128        4.4769431374     9269.3112193428        2.0806381598        2.3963050245      0.18607133
        16        2.1690241579        4.5170341708     9082.4979845230        2.1690241613        2.3480100129      0.19161288
        17        2.2973215367        4.5114580903     8564.6529082432        2.2973215369        2.2141365536      0.18630665
        18        2.4520540739        4.4868162874     7870.8027657896        2.4520540739        2.0347622135      0.18701622
        19        2.6176658023        4.4835928165     7217.7197935225        2.6176658023        1.8659270142      0.19246977
        20        2.7796753068        4.4356082049     6405.4272029493        2.7796753068        1.6559328981      0.19164379
        21        2.9213312029        4.4213540284     5802.3407969246        2.9213312029        1.5000228255      0.18664538
        22        3.0314635251        4.4566758287     5512.9611048700        3.0314635251        1.4252123036      0.19212335
        23        3.1020765051        4.4357368551     5158.8227367535        3.1020765051        1.3336603500      0.19181674
        24        3.1254992227        4.4173476927     4997.0873464947        3.1254992227        1.2918484700      0.19172287
        25        3.1001615787        4.4602298857     5260.9731601328        3.1001615787        1.3600683070      0.18054263
        26        3.0275168088        4.3894809667     5268.3066303913        3.0275168088        1.3619641579      0.17546755
        27        2.9170675320        4.3461356150     5527.8759085872        2.9170675320        1.4290680830      0.17742889
        28        2.7780484707        4.3016438158     5893.5232709207        2.7780484707        1.5235953451      0.19000294
