      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         1        4.4706424297        4.5116028385      158.4417563929        4.4294975720        0.0409604088      0.00000000
         2        4.4294975720        4.5904183431      622.4686315520        4.3090001770        0.1609207711      0.20464641
         3        4.3090001770        4.6603481882     1359.0732521058        4.1177215949        0.3513480113      0.22560480
         4        4.1177215949        4.7164852725     2316.1186984625        3.8692104989        0.5987636776      0.22567786
         5        3.8692104989        4.7549963149     3426.3686459117        3.5809332540        0.8857858160      0.22056474
         6        3.5809332540        4.7733844616     4612.6020037281        3.2729439583        1.1924512077      0.22793912
         7        3.2729439583        4.7706474027     5793.3690402530        2.9663995384        1.4977034444      0.22852486
         8        2.9663995384        4.7473255437     6888.9215823204        2.6820092075        1.7809260052      0.22808545
         9        2.6820092075        4.7054150144     7826.8742730252        2.4385635397        2.0234058069      0.22858035
        10        2.4385635397        4.6481919098     8547.2144956239        2.2516470808        2.2096283701      0.22114621
        11        2.2516470808        4.5799724986     9006.3546572079        2.1325728579        2.3283254178      0.22616165
        12        2.1325728579        4.5057894972     9180.0014584375        2.0876483927        2.3732166392      0.21909124
        13        2.0876483927        4.4310556353     9064.6936943477        2.1177693726        2.3434072426      0.22934272
        14        2.1177693726        4.3611908745     8677.9320181377        2.2183905175        2.2434215019      0.22518214
        15        2.2183905175        4.3012613244     8056.8949030322        2.3798594219        2.0828708068      0.22178842
        16        2.3798594219        4.2556324501     7255.8058331464        2.5880954015        1.8757730282      0.22871957
        17        2.5880954015        4.2276544197     6342.0902793547        2.8255876491        1.6395590182      0.22095609
        18        2.8255876491        4.2194089633     5391.5354738634        3.0726514177        1.3938213142      0.21799209
        19        3.0726514177        4.2315306912     4482.7401110594        3.3088696031        1.1588792735      0.22690723
        20        3.3088696031        4.2631228586     3691.2122272136        3.5146225588        0.9542532554      0.22102414
        21        3.5146225588        4.3117794185     3083.5369235339        3.6726068777        0.7971568597      0.24638408
        22        3.6726068777        4.3737344251     2712.0793781853        3.7692099089        0.7011275474      0.26583422
