      Step          Pe(mixed)          E_total                Temp                  Pe                  Ke   Speed(ns/day)
         0        4.4696912574        4.4696912574        0.0000000000        4.4696912574        0.0000000000      0.00000000
         1        4.4285465723        4.4695064613      158.4397455382        4.4285465723        0.0409598890      1.70459261
         2        4.3080499923        4.4689687116      622.4606946150        4.3080499923        0.1609187193      2.06471165
         3        4.1167724835        4.4681159806     1359.0557907063        4.1167724835        0.3513434971      2.32463831
         4        3.8682624925        4.4670183954     2316.0886248032        3.8682624925        0.5987559029      2.45221184
         5        3.5799859049        4.4657600619     3426.3235471660        3.5799859049        0.8857741570      2.47254028
         6        3.2719972715        4.4644325240     4612.5402864616        3.2719972715        1.1924352525      2.45138244
         7        2.9654531600        4.4631361815     5793.2900408477        2.9654531600        1.4976830214      2.47956117
         8        2.6810621448        4.4619633305     6888.8255762024        2.6810621448        1.7809011857      2.49389488
         9        2.4376151332        4.4609920240     7826.7624209407        2.4376151332        2.0233768908      2.47761163
        10        2.2506962688        4.4602921208     8547.0887099132        2.2506962688        2.2095958519      2.50328371
        11        2.1316187262        4.4599086487     9006.2173553260        2.1316187262        2.3282899225      2.47566516
        12        2.0866898245        4.4598686621     9179.8552350757        2.0866898245        2.3731788375      2.47845888
        13        2.1168062722        4.4601740289     9064.5409562343        2.1168062722        2.3433677567      2.34752779
        14        2.2174222440        4.4608030422     8677.7745693549        2.2174222440        2.2433807982      2.45836691
        15        2.3788863654        4.4617154535     8056.7335279077        2.3788863654        2.0828290881      2.45578468
        16        2.5871178992        4.4628480433     7255.6399503240        2.5871178992        1.8757301441      2.46103814
        17        2.8246070332        4.4641214424     6341.9177239026        2.8246070332        1.6395144091      2.44048667
        18        3.0716689885        4.4654429868     5391.3524476639        3.0716689885        1.3937739983      2.47990054
        19        3.3078873972        4.4667152861     4482.5413468080        3.3078873972        1.1588278889      2.37537930
        20        3.5136424764        4.4678386418     3690.9913933883        3.5136424764        0.9541961654      2.44147319
        21        3.6716304905        4.4687228020     3083.2872404011        3.6716304905        0.7970923115      4.51095868
        22        3.7682389049        4.4692927856     2711.7944232527        3.7682389049        0.7010538807      4.68564605
        23        3.7946663404        4.4695000309     2610.3703134412        3.7946663404        0.6748336904      4.57618216
        24        3.7476639851        4.4693248635     2791.5057591221        3.7476639851        0.7216608784      4.79507596
        25        3.6298274138        4.4687782255     3245.2029650526        3.6298274138        0.8389508116      4.83377172
        26        3.4494079163        4.4679049407     3939.7179398236        3.4494079163        1.0184970243      1.27316692
        27        3.2196492772        4.4667743150     4824.0895823766        3.2196492772        1.2471250378      2.44798774
        28        2.9577366934        4.4654749423     5832.1853536351        2.9577366934        1.5077382490      2.47422842
        29        2.6834549709        4.4641045940     6887.8524899134        2.6834549709        1.7806496232      2.37436767
        30        2.4176867557        4.4627609965     7910.6914230887        2.4176867557        2.0450742408      2.46723765
        31        2.1808827559        4.4615386154     8821.9607812340        2.1808827559        2.2806558595      2.40773281
        32        1.9916059844        4.4605177614     9550.1663601900        1.9916059844        2.4689117770      2.38923927
        33        1.8652617960        4.4597617716    10035.9626537563        1.8652617960        2.5944999757      2.38084137
        34        1.8130760835        4.4593140838    10236.0940422927        1.8130760835        2.6462380003      2.40294321
        35        1.8413681174        4.4592007160    10126.2171668187        1.8413681174        2.6178325986      2.40055555
        36        1.9511180195        4.4594284739     9702.5670768602        1.9511180195        2.5083104545      2.46087101
        37        2.1378232464        4.4599917461     8982.5386611898        2.1378232464        2.3221684996      2.45820015
        38        2.3915926294        4.4608711774     8004.3177579184        2.3915926294        2.0692785480      2.42513462
        39        2.6974612415        4.4620341270     6825.6649623002        2.6974612415        1.7645728855      2.44807043
        40        3.0359392912        4.4634340700     5521.7901029517        3.0359392912        1.4274947787      2.43720402
        41        3.3838678275        4.4649941086     4181.9784475891        3.3838678275        1.0811262810      2.46120528
reaction occured at step 41 between IDs 1 and 2
        42        3.3861341799        4.4035008539     3935.3455543327        3.3861341799        1.0173666740      0.82328134
        43        3.1600895319        4.4025402715     4806.0086101920        3.1600895319        1.2424507396      1.30660849
        44        2.9253408322        4.4016253467     5710.5170137113        2.9253408322        1.4762845144      2.38146721
        45        2.6977787070        4.4007704513     6587.4587419040        2.6977787070        1.7029917443      2.39991964
        46        2.4921825846        4.4000079642     7379.7897240684        2.4921825846        1.9078253796      2.50544708
        47        2.3217332187        4.3993681544     8036.6416723124        2.3217332187        2.0776349358      2.29526469
        48        2.1974622477        4.3988933872     8515.5062279287        2.1974622477        2.2014311395      2.44848394
        49        2.1276316305        4.3986213476     8784.5705151536        2.1276316305        2.2709897171      2.43777785
        50        2.1171833771        4.3985794665     8824.8241152058        2.1171833771        2.2813960895      2.46421777
        51        2.1673449689        4.3987809715     8631.5700889487        2.1673449689        2.2314360026      2.39888701
        52        2.2754596346        4.3992204499     8215.0643389599        2.2754596346        2.1237608153      1.79653405
        53        2.4350867750        4.3998736528     7600.1263878327        2.4350867750        1.9647868778      2.04283021
        54        2.6363830900        4.4007022365     6824.6834571576        2.6363830900        1.7643191465      1.88131274
        55        2.8667352326        4.4016519833     5937.3163734367        2.8667352326        1.5349167507      1.89702071
        56        3.1116148806        4.4026568093     4993.9675090025        3.1116148806        1.2910419287      3.84639246
        57        3.3555942269        4.4036473543     4054.0459217425        3.3555942269        1.0480531274      4.33271001
        58        3.5834367192        4.4045539295     3176.2195929723        3.5834367192        0.8211172103      4.26263442
        59        3.7811873295        4.4053116650     2414.2179922014        3.7811873295        0.6241243355      4.31183135
        60        3.9371761457        4.4058672993     1812.9762798515        3.9371761457        0.4686911536      4.70603033
        61        4.0428501809        4.4061826441     1405.4311295487        4.0428501809        0.3633324632      4.78873955
        62        4.0933700813        4.4062383435     1210.2271052320        4.0933700813        0.3128682622      4.76074442
        63        4.0879211438        4.4060340683     1230.5143416731        4.0879211438        0.3181129245      4.40218496
        64        4.0297218426        4.4055900171     1453.9213710468        4.0297218426        0.3758681745      4.83506158
        65        3.9257266104        4.4049415384     1853.6840105488        3.9257266104        0.4792149280      4.74515995
        66        3.7860678600        4.4041423149     2390.8160356332        3.7860678600        0.6180744549      4.87539171
        67        3.6232612833        4.4032507141     3017.1304184268        3.6232612833        0.7799894307      4.83441656
        68        3.4512727300        4.4023344650     3678.8668889457        3.4512727300        0.9510617350      4.88689725
        69        3.2844803105        4.4014565156     4320.6519887067        3.2844803105        1.1169762051      4.80524916
        70        3.1366434406        4.4006806422     4889.5086787151        3.1366434406        1.2640372016      4.81130995
        71        3.0199142730        4.4000610876     5338.6402072346        3.0199142730        1.3801468146      4.39124951
        72        2.9439805860        4.3996397925     5630.7348505650        2.9439805860        1.4556592065      4.81162936
        73        2.9153910770        4.3994455771     5740.5726261441        2.9153910770        1.4840545001      4.81962848
        74        2.9371031983        4.3994908593     5656.7616451883        2.9371031983        1.4623876610      4.87637577
        75        3.0082871906        4.3997697813     5382.4888974098        3.0082871906        1.3914825907      4.84281526
        76        3.1244029056        4.4002614442     4935.2356002709        3.1244029056        1.2758585386      4.87244189
        77        3.2775357958        4.4009298917     4345.4774706989        3.2775357958        1.1233940959      4.79349029
        78        3.4569734720        4.4017257224     3654.4607403476        3.4569734720        0.9447522504      4.91373377
        79        3.6499845402        4.4025914752     2911.2103157581        3.6499845402        0.7526069351      4.87834510
        80        3.8427379247        4.4034638520     2168.9822771511        3.8427379247        0.5607259273      4.87900189
        81        4.0213039439        4.4042795908     1481.4142709635        4.0213039439        0.3829756469      4.90177013
        82        4.1726597867        4.4049792320      898.6507221141        4.1726597867        0.2323194453      4.84734973
        83        4.2856312648        4.4055131140      463.7231731758        4.2856312648        0.1198818492      4.91506667
        84        4.3516953439        4.4058421446      209.4489402748        4.3516953439        0.0541468008      4.79698015
        85        4.3655939749        4.4059424421      156.0746630465        4.3655939749        0.0403484672      4.85774619
        86        4.3257083246        4.4058077489      309.8380566497        4.3257083246        0.0800994243      4.55948497
        87        4.2341649038        4.4054488095      662.5549803541        4.2341649038        0.1712839057      4.90143864
        88        4.0966692111        4.4048937923     1192.2645653794        4.0966692111        0.3082245812      4.87309710
        89        3.9220716586        4.4041830571     1864.8880463166        3.9220716586        0.4821113986      4.88195966
        90        3.7217096534        4.4033714520     2636.7825853244        3.7217096534        0.6816617986      4.88986460
        91        3.5085555193        4.4025200468     3458.0052788284        3.5085555193        0.8939645275      4.59912260
        92        3.2962485781        4.4016941504     4276.0495599191        3.2962485781        1.1054455723      4.68171133
        93        3.0980708253        4.4009563168     5039.7804035317        3.0980708253        1.3028854915      4.83538416
        94        2.9259516160        4.4003649215     5703.2788622915        2.9259516160        1.4744133054      4.87244189
        95        2.7895627131        4.3999661567     6229.3116086418        2.7895627131        1.6104034436      4.90641573
        96        2.6955846954        4.3997935335     6592.1666657771        2.6955846954        1.7042088382      4.76794771
        97        2.6471890207        4.3998634976     6779.6399146728        2.6471890207        1.7526744768      4.74515995
        98        2.6437837633        4.4001743481     6794.0144460968        2.6437837633        1.7563905849      4.69992693
        99        2.6810442514        4.4007061849     6651.9418401814        2.6810442514        1.7196619336      4.84216817
       100        2.7512331215        4.4014215511     6383.2066320009        2.7512331215        1.6501884296      4.88689725
       101        2.8437929133        4.4022642192     6028.4293582214        2.8437929133        1.5584713059      4.70786444
       102        2.9461909173        4.4031693747     5635.8379354536        2.9461909173        1.4569784575      4.59474915
       103        3.0449392608        4.4040608360     5257.3110419588        3.0449392608        1.3591215752      3.48953169
       104        3.1267436361        4.4048601251     4943.9697324955        3.1267436361        1.2781164890      4.54775511
       105        3.1796790067        4.4054943778     4741.6602044409        3.1796790067        1.2258153711      4.79602787
       106        3.1942875394        4.4059001244     4686.7214367959        3.1942875394        1.2116125850      4.66904420
       107        3.1645030523        4.4060338129     4802.4499763708        3.1645030523        1.2415307606      4.55604558
       108        3.0882906619        4.4058761992     5096.6426555839        3.0882906619        1.3175855373      4.74951331
       109        2.9679300074        4.4054335572     5560.5057143580        2.9679300074        1.4375035498      1.09678238
       110        2.8099102817        4.4047401866     6169.0705396563        2.8099102817        1.5948299049      2.34002432
       111        2.6244353892        4.4038504070     6883.0768284888        2.6244353892        1.7794150178      2.26407513
       112        2.4246098975        4.4028355312     7652.1097577960        2.4246098975        1.9782256337      2.44947694
       113        2.2253834389        4.4017736876     8418.6438468467        2.2253834389        2.1763902487      2.44303681
       114        2.0423720207        4.4007426720     9122.5746778867        2.0423720207        2.3583706513      2.42562159
       115        1.8906664925        4.3998162909     9705.8138007039        1.8906664925        2.5091497984      2.43017614
       116        1.7837155611        4.3990553056    10116.5743878631        1.7837155611        2.6153397446      2.46421777
       117        1.7323669511        4.3985050191    10313.0708543828        1.7323669511        2.6661380681      2.45329090
       118        1.7441082444        4.3982017664    10266.4805227498        1.7441082444        2.6540935220      2.46950741
       119        1.8224878773        4.3981658561     9963.1560014104        1.8224878773        2.5756779788      2.46153964
       120        1.9667270880        4.3984206425     9406.2000103877        1.9667270880        2.4316935545      2.50778773
       121        2.1714153776        4.3989733493     8616.5692127717        2.1714153776        2.2275579717      2.52218726
       122        2.4263481882        4.3998331343     7633.7719803946        2.4263481882        1.9734849462      2.52561498
       123        2.7164973520        4.4009876307     6515.8919582844        2.7164973520        1.6844902787      2.55544648
       124        3.0223635226        4.4023797992     5338.1352643655        3.0223635226        1.3800162766      2.48329929
reaction occured at step 124 between IDs 1 and 3
       125        2.9998598596        4.3180578989     5099.0119164426        2.9998598596        1.3181980394      0.84837557
       126        2.8138204283        4.3172892769     5815.6705946792        2.8138204283        1.5034688487      1.34534132
       127        2.6281917423        4.3166550476     6531.2602939831        2.6281917423        1.6884633053      2.46891856
       128        2.4550115990        4.3161357343     7199.1414492850        2.4550115990        1.8611241352      2.47701890
       129        2.3044090387        4.3157169636     7780.0776291298        2.3044090387        2.0113079249      2.41543602
       130        2.1847097178        4.3154025782     8241.8786564443        2.1847097178        2.1306928604      2.52772898
       131        2.1023733596        4.3152063252     8559.6104106759        2.1023733596        2.2128329657      2.52869908
       132        2.0617973073        4.3151473929     8716.3374512567        2.0617973073        2.2533500856      2.54325121
       133        2.0650646749        4.3152390171     8704.0531409630        2.0650646749        2.2501743422      2.55580694
       134        2.1117575348        4.3154898221     8524.4074548170        2.1117575348        2.2037322873      2.52931681
       135        2.1988885125        4.3158926411     8188.9283378153        2.1988885125        2.1170041287      2.52526299
